ID,колода,название,источник,куда кладётся,постоянный эффект,можно ли снять,как влияет на следующий сценарий,как влияет на кампанию,визуальная идея,тестовая заметка
SCAR-023,Шрамы,Холодный Пепел,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
SCAR-024,Шрамы,Сломанная Иерархия,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
SCAR-025,Шрамы,Кровь Маршрута,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
SCAR-026,Шрамы,Память Без Имени,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
SCAR-027,Шрамы,Форма Противится,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
SCAR-028,Шрамы,Тень Упрощения,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
SCAR-029,Шрамы,Орбитальный Шёпот,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
SCAR-030,Шрамы,Надлом Синтеза,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
ZONE-001,Преобразованные зоны,Живой Мост,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
ZONE-002,Преобразованные зоны,Архив Эха,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
ZONE-003,Преобразованные зоны,Сад Восстановления,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
ZONE-004,Преобразованные зоны,Чистый Шов Портала,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
ZONE-005,Преобразованные зоны,Дом Общего Труда,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
ZONE-006,Преобразованные зоны,Память Материи,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
ZONE-007,Преобразованные зоны,Зеркало Истинного Образа,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
ZONE-008,Преобразованные зоны,Верное Имя,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
ZONE-009,Преобразованные зоны,Охлаждённый Разрыв,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
ZONE-010,Преобразованные зоны,Форма Из Пепла,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
ZONE-011,Преобразованные зоны,Гавань Проводников,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
ZONE-012,Преобразованные зоны,Согласованная Иерархия,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
ZONE-013,Преобразованные зоны,Направленное Желание,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
ZONE-014,Преобразованные зоны,Путь Через Сон,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
ZONE-015,Преобразованные зоны,Союзный Пост,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
ZONE-016,Преобразованные зоны,Принятый Аркан,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
ZONE-017,Преобразованные зоны,Дом Меры,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
ZONE-018,Преобразованные зоны,Очистная Чаша,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
ZONE-019,Преобразованные зоны,Тихий Светлый Проход,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
ZONE-020,Преобразованные зоны,Перевёрнутый Горн,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
ZONE-021,Преобразованные зоны,Сила В Уздечке,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
ZONE-022,Преобразованные зоны,Тина В Компост,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
ZONE-023,Преобразованные зоны,Стела Завершения,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
ZONE-024,Преобразованные зоны,Кольцо Возвращения,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
ZONE-025,Преобразованные зоны,Общий Очаг,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
ZONE-026,Преобразованные зоны,Новый Носитель,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
ZONE-027,Преобразованные зоны,Синтезный Узел,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
ZONE-028,Преобразованные зоны,Зона Верного Выбора,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
ZONE-029,Преобразованные зоны,Рынок Взаимного Обмена,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
ZONE-030,Преобразованные зоны,Преддверие Конъюнкции,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet,см. Google Sheet
