id,type,canonical_name,real_place,region,historical_fact,mythic_hypothesis,mechanic_role,source_document,status,prompt_status
LOC-19,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-20,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-21,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-22,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-23,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-24,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-25,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-26,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-27,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-28,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-29,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-30,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-31,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-32,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-33,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-34,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-35,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-36,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-37,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-38,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-39,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-40,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-41,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-42,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-43,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-44,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-45,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-46,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-47,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-48,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-49,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-50,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-51,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-52,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-53,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-54,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-55,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-56,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-57,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-58,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-59,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-60,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-61,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-62,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-63,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
LOC-64,location,,,,,,,RULEBOOK_01_TRAVEL_AND_ROUTE_STRATEGY_v0.1_DRAFT,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
PORTAL-01,portal,,,,,,,PORTALS_FAMILY_CORE_v0.1_DRAFT / founder correction 2026-07-25,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
PORTAL-02,portal,,,,,,,PORTALS_FAMILY_CORE_v0.1_DRAFT / founder correction 2026-07-25,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
PORTAL-03,portal,,,,,,,PORTALS_FAMILY_CORE_v0.1_DRAFT / founder correction 2026-07-25,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
PORTAL-04,portal,,,,,,,PORTALS_FAMILY_CORE_v0.1_DRAFT / founder correction 2026-07-25,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
PORTAL-05,portal,,,,,,,PORTALS_FAMILY_CORE_v0.1_DRAFT / founder correction 2026-07-25,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
PORTAL-06,portal,,,,,,,PORTALS_FAMILY_CORE_v0.1_DRAFT / founder correction 2026-07-25,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
PORTAL-07,portal,,,,,,,PORTALS_FAMILY_CORE_v0.1_DRAFT / founder correction 2026-07-25,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
PORTAL-08,portal,,,,,,,PORTALS_FAMILY_CORE_v0.1_DRAFT / founder correction 2026-07-25,TO-ASSIGN-FROM-CANON,BLOCKED-UNTIL-CANONICAL-ROW
