ID,Source,Status,Category,Mechanism
NH-003,Ninth House,[SOURCE BOOK],Institution,Oversight body with limits
NH-004,Ninth House,[SOURCE BOOK],Worldbuilding,Elite power embedded in ordinary privilege
NH-005,Ninth House,[SOURCE BOOK],Plot,Ritual/case reveals systemic abuse
NH-006,Ninth House,[SOURCE BOOK],Series,One case per function
NH-007,Ninth House,[SOURCE BOOK],Investigation,Archive as active tool
NH-008,Ninth House,[SOURCE BOOK],Theme,Who gets protected by elite systems
NH-009,Ninth House,[SOURCE BOOK],Character,Rescue offer is transactional
NH-010,Ninth House,[SOURCE BOOK],Relationship,Missing mentor as mythology engine
NH-011,Ninth House,[SOURCE BOOK],Worldbuilding,Buildings encode jurisdiction
NH-012,Ninth House,[SOURCE BOOK],Conflict,Capability ≠ authority
NH-013,Ninth House,[SOURCE BOOK],Ethics,Oversight can normalize harm
NH-014,Ninth House,[SOURCE BOOK],Pacing,Social friction between occult beats
NH-015,Ninth House,[SOURCE BOOK],Resolution,Local case opens larger rescue mission
SD-001,Песчаный дьявол,[SOURCE BOOK],Hook,Historical anomaly + modern proof
SD-002,Песчаный дьявол,[SOURCE BOOK],Plot,Physical artifact drives investigation
SD-003,Песчаный дьявол,[SOURCE BOOK],Structure,Explicit countdown entry
SD-004,Песчаный дьявол,[SOURCE BOOK],Structure,Multiple teams converge
SD-005,Песчаный дьявол,[SOURCE BOOK],Series,Fixed team + new case
SD-006,Песчаный дьявол,[SOURCE BOOK],Character,Differentiated expertise
SD-007,Песчаный дьявол,[SOURCE BOOK],Worldbuilding,Legend becomes mechanism
SD-008,Песчаный дьявол,[SOURCE BOOK],Escalation,Location chain changes hazard
SD-009,Песчаный дьявол,[SOURCE BOOK],Institution,Field case exposes leadership compromise
SD-010,Песчаный дьявол,[SOURCE BOOK],Antagonist,Opponent wants functional capability
SD-011,Песчаный дьявол,[SOURCE BOOK],Pacing,Discovery-action alternation
SD-012,Песчаный дьявол,[SOURCE BOOK],Setting,Culture/place as constraint
SD-013,Песчаный дьявол,[SOURCE BOOK],Climax,Specialties combine
SD-014,Песчаный дьявол,[SOURCE BOOK],Resolution,Aftermath redistributes assignments
SD-015,Песчаный дьявол,[SOURCE BOOK],Risk Control,Artifact is not the story
ROD-001,Остаток дня — opening sample,[SOURCE BOOK — OPENING ONLY],Character,Self-protective professional narration
ROD-002,Остаток дня — opening sample,[SOURCE BOOK — OPENING ONLY],Character,Emotion displaced into procedure
ROD-003,Остаток дня — opening sample,[SOURCE BOOK — OPENING ONLY],Evidence,Scene contradicts narrator
ROD-004,Остаток дня — opening sample,[SOURCE BOOK — OPENING ONLY],Theme,Code becomes identity
ROD-005,Остаток дня — opening sample,[SOURCE BOOK — OPENING ONLY],Relationship,Competence dispute carries intimacy
ROD-006,Остаток дня — opening sample,[SOURCE BOOK — OPENING ONLY],Worldbuilding,Hierarchy through work etiquette
ROD-007,Остаток дня — opening sample,[SOURCE BOOK — OPENING ONLY],Character,Aging/decline as operational fact
ROD-008,Остаток дня — opening sample,[SOURCE BOOK — OPENING ONLY],Structure,Journey as re-evaluation frame
ROD-009,Остаток дня — opening sample,[SOURCE BOOK — OPENING ONLY],Pacing,Small details accumulate
ROD-010,Остаток дня — opening sample,[SOURCE BOOK — OPENING ONLY],Character,Rationalization after evidence
ROD-011,Остаток дня — opening sample,[SOURCE BOOK — OPENING ONLY],Ethics,Duty to role versus duty to person
ROD-012,Остаток дня — opening sample,[SOURCE BOOK — OPENING ONLY],Dialogue,Argument meaning differs from words
ROD-013,Остаток дня — opening sample,[SOURCE BOOK — OPENING ONLY],Emotion,Withholding increases later force
ROD-014,Остаток дня — opening sample,[SOURCE BOOK — OPENING ONLY],Opening,Ordinary plan opens retrospective question
ROD-015,Остаток дня — opening sample,[SOURCE BOOK — OPENING ONLY],Risk Control,Fragment-limited extraction
WAT-001,Дозоры 1–3 — opening sample,[SOURCE BOOK — OPENING ONLY],Opening,Invisible anomaly in ordinary city
WAT-002,Дозоры 1–3 — opening sample,[SOURCE BOOK — OPENING ONLY],Worldbuilding,Hidden service appears through field work
WAT-003,Дозоры 1–3 — opening sample,[SOURCE BOOK — OPENING ONLY],Stakes,One-person case threatens many
WAT-004,Дозоры 1–3 — opening sample,[SOURCE BOOK — OPENING ONLY],Ethics,Effective solution can be unlawful
WAT-005,Дозоры 1–3 — opening sample,[SOURCE BOOK — OPENING ONLY],Worldbuilding,Anomaly is measurable/readable
WAT-006,Дозоры 1–3 — opening sample,[SOURCE BOOK — OPENING ONLY],Investigation,Human cause beneath supernatural symptom
WAT-007,Дозоры 1–3 — opening sample,[SOURCE BOOK — OPENING ONLY],Institution,Opposing services share rules
WAT-008,Дозоры 1–3 — opening sample,[SOURCE BOOK — OPENING ONLY],Character,Power constrained by collateral harm
WAT-009,Дозоры 1–3 — opening sample,[SOURCE BOOK — OPENING ONLY],Plot,Diagnosis becomes intervention choice
WAT-010,Дозоры 1–3 — opening sample,[SOURCE BOOK — OPENING ONLY],Worldbuilding,Ordinary people stay central
WAT-011,Дозоры 1–3 — opening sample,[SOURCE BOOK — OPENING ONLY],Theme,Faction label not equal moral truth
WAT-012,Дозоры 1–3 — opening sample,[SOURCE BOOK — OPENING ONLY],Pacing,Urban case + short lore pulses
WAT-013,Дозоры 1–3 — opening sample,[SOURCE BOOK — OPENING ONLY],Mystery,Operator sees what target cannot
WAT-014,Дозоры 1–3 — opening sample,[SOURCE BOOK — OPENING ONLY],Conflict,Mission and empathy collide
WAT-015,Дозоры 1–3 — opening sample,[SOURCE BOOK — OPENING ONLY],Risk Control,Fragment-limited extraction
