ID,название закона,мир,когда входит в игру,что меняет,кому помогает,кому мешает,как снять,как преобразовать,тестовая заметка
LAW-020,Закон Иерархии Равных,Метагалактический,Построено Общество Иерархии Равных.,Командные решения требуют согласия двух ролей; эффект получает +1 качество.,Команде.,Одиночному лидеру.,Взять ответственность или заплатить 2 Связи.,Согласованная Иерархия: без задержки.,Коллективность.
LAW-021,Закон Сефирной Меры,Метагалактический,Сефирный Дом/карта.,Большой эффект требует 1 Закон или снижается до среднего.,Стратегам.,Комбо power creep.,Дом Живого Закона.,Точная Мера: снижение эффекта даёт ресурс.,Сдерживает силу.
LAW-022,Закон Высшей Миссии,Метагалактический,Получена верхняя миссия.,Победа требует доп. миссию; награда — редкое кампанийное улучшение.,Кампании.,Быстрой победе.,Отказаться и получить Шрам.,Свершенная Миссия: условие победы расширяется.,Меняет победу.
LAW-023,Закон Накала,Огненный,Огонь использован 3+ раза.,"Огненные действия дешевле на 1 Огонь, но добавляют Накал; 3 Накала = Разрыв.",Огненному.,Осторожным.,Охладить Накал.,Управляемый Накал: третий Накал = Преобразование.,Огненный риск.
LAW-024,Закон Жертвы,Огненный,Нужно отменить разрушение.,Разрушение отменяется Жертвой; остаётся Пепельный След.,Защите Экополиса.,Игрокам без цены.,Принять разрушение или закрыть след.,Плодотворная Жертва: Пепел ресурс.,Цена спасения.
LAW-025,Закон Прожига,Огненный,Путь закрыт Разломом.,Проход через закрытый путь за Огонь; каждая попытка повреждает Форму.,Рискованным переходам.,Строителям.,Закрыть прожиг или чинить Форму.,Чистый Проход: без повреждения.,Аварийный выход.
LAW-026,Закон Пепельного Следа,Огненный,Разрушена Огненная Форма.,Пепел можно взять как ресурс или предупреждение угрозы.,Кампании.,Игре без последствий.,Собрать или похоронить Пепел.,Феникс: Пепел создаёт малую Форму.,Разрушение не пустое.
LAW-027,Закон Цены Разрыва,Огненный,Появился первый Разрыв.,"Каждый Разрыв требует: ремонт, Шрам или опасный портал.","Стражу, Огненному.",Команде без ресурсов.,Закрыть Огненным Швом.,Преобразованный Разрыв: становится маршрутом.,Цена Разрыва.
LAW-028,Закон Переплавки,Огненный,Повреждена устойчивая Форма.,"Форму можно не чинить, а переплавить в новую малую Форму.",Алхимику.,Привязанности к старому.,Обычный ремонт.,Новая Форма: сохранить часть старого эффекта.,Преобразование через потерю.
LAW-029,Закон Синтезного Столпа,Синтезный,Открыт вход в Синтезный мир.,"Раз за раунд действие сверху вниз: очистить Искажение, закрепить Форму или изменить стоимость.",Синтезатору.,Без Интеграции.,Закрыть вход или заплатить 2 Синтеза.,Постоянный Столп: эффект между сценариями.,Редкий сильный закон.
LAW-030,Закон Интеграции,Синтезный,После Миракля или перехода.,Временное чудо нужно интегрировать: заплати цену или оно исчезает с откатом.,Акту IV.,Бесплатному чуду.,Выполнить Интеграцию.,Закреплённый Миракл: чудо становится Формой.,Связь с ACT IV.
LAW-031,Закон Новой Формы,Синтезный,Создана Синтезная Форма.,Новая Форма меняет правило зоны; похожую старую Форму нужно удалить или переплавить.,Создателям Форм.,Стакингу старых структур.,Согласовать через Дом Частностей.,Сотворённая Форма: старое и новое соединены.,Контроль стаков.
LAW-032,Закон Единого Действия,Синтезный,3+ игрока делают одно действие.,Действия объединяются в Синтезный эффект; провал даёт общий откат.,Команде.,Соло-игре.,Отказаться или оплатить 2 Связи.,Единая Команда: откат мягче.,Финальный командный закон.
LAW-033,Закон Конъюнкции Орбиталей,Орбитальный,Две орбитали совпали с одной клеткой.,Событие становится выбором: сильный дар или сильный риск.,"Провидцу, Арканисту.",Без подготовки.,Развести орбитали или закрыть клетку.,Великая Конъюнкция: риск = миссия.,Значимость совпадений.
LAW-034,Закон Орбитального Запаздывания,Орбитальный,Эффект орбитали используется поздно.,"Эффект можно использовать с задержкой 1 ход, но он стоит +1 Импульс.",Планировщикам.,Без экономики.,Отказаться от эффекта.,Орбитальная Память: задержка бесплатна раз за сценарий.,Не терять момент.
LAW-035,Закон Редкого Совпадения,Орбитальный,Переменная орбиталь редко совпала с 64-клеточным диском.,Редкое совпадение создаёт кампанийное событие; обычной защитой не отменяется.,Высоким ролям.,Новичкам.,Прожить или закрыть через Аттестационный Совет.,Принятое Совпадение: постоянный след.,Связь с 64/22.
LAW-036,Закон Вращающегося Рынка,Орбитальный,Рынок связан со сдвигом орбиталей.,После сдвига орбитали заменяй 1 карту рынка; покупка той же функции даёт 1 Импульс.,Deckbuilding-рынку.,Накоплению одной карты.,Заморозить рынок за 1 Память.,Живой Рынок: замена даёт выбор из двух.,Связать рынок с космологией.
