ID,название,тип модуля,нормальный эффект,повреждённый эффект,стоимость ремонта,способ улучшения,связанная колода,тестовая заметка
BLDG-011,Обсерватория Орбиталей,Улучшение / орбитали,Перед сдвигом одной орбитали посмотри её следующую позицию; команда выбирает: подготовить защиту или движение.,"Можно смотреть только после сдвига, когда уже поздно менять ход.",2 Ясность + 1 Импульс,Может стать Астрокругом Конъюнкций.,SD03 — Провидец Орбиталей / Следопыт Теней,Не должна давать полный контроль. Разлом повреждает через ложный прогноз.
BLDG-012,Хранилище Решений,Улучшение / кампания,Сохрани 2 решения кампании; одно можно активировать как подсказку или скидку 1 ресурса.,Сохраняет только 1 решение без бонуса.,2 Память + 1 Закон,Может стать Архивом Основателя в кампании.,SD09 — Арканист,Даёт долгосрочную память. Разлом повреждает через искажение записей.
BLDG-013,Портальный Узел,Улучшение / портал,"Один раз за раунд портал из здания открывается без броска риска, если есть допуск.",Портал требует бросок риска даже с допуском.,2 Полномочие + 1 Связь + 1 Огонь,Может стать Кампанийными Вратами.,SD05 — Страж Порога,Делает базу центром карты. Разлом повреждает через нестабильный вход.
BLDG-014,Центр Восстановления Корней,Улучшение / Корни,Один раз за раунд сними 1 повреждение с Корня или преврати слабое Искажение Корня в ресурс.,"Можно только увидеть повреждение Корня, но не снять.",2 Витика + 1 Огонь,Может стать Садом Общественного Корня.,SD08 — Ангельский Посланник / Миротворец Связей,Связывает базу с Корнями. Разлом повреждает через заражение Корня.
BLDG-015,Ресурсный Контур,Улучшение / экономика,"В начале раунда команда получает 1 общий ресурс на выбор: Материя, Связь или Импульс.",Ресурс появляется только при оплате 1 другого ресурса.,2 Материя + 1 Связь,Может стать Экономикой Общего Дела.,SD11 — Синтезатор / Собиратель Ресурсов,"Проверить, не слишком ли сильная пассивная экономика. Разлом повреждает через утечку ресурсов."
BLDG-016,Школа Практик,Улучшение / обучение,Первый провал практики в раунде превращается в выбор: получить Импульс или раскрыть Искажение.,Провал даёт только Импульс и Усталость.,2 Ясность + 1 Память,Может открыть карту Акта II или Акта IV в кампании.,SD06 — Носитель Луча / Наставник Практик,"Связка с практиками, но без сложной мистики. Разлом повреждает через ложное обучение."
BLDG-017,Совет 32 Организаций IVDIVO,Редкий кампанийный модуль / общественные объединения,"В начале сценария выбери один общественный смысл: помощь, обучение, восстановление, исследование. Все командные действия этого смысла получают скидку 1 ресурс один раз за раунд.","Смысл выбирается, но скидка действует только один раз за сценарий.",3 Связь + 2 Полномочие + 1 Память,Улучшается через выполнение миссий разных организаций; не требует перечислять все 32 сразу.,SD11 — Синтезатор / Собиратель Ресурсов,Это замена туманного 'убежища' на сеть зданий/организаций. Разлом повреждает через раскол общего смысла.
BLDG-018,Дом Живого Закона,Редкий кампанийный модуль / закон мира,"Выбери один закон здания на сценарий: безопасный вход, общий ресурс, защита портала или раскрытие Искажений.",Закон действует только на одну зону здания.,2 Закон + 2 Материя + 1 Синтез,Может стать постоянным законом кампании после Миракля.,SD09 — Арканист,"Сильный модуль, тестировать после базовых. Разлом повреждает через Разрыв закона."
BLDG-019,Кампанийные Врата,Редкий кампанийный модуль / межмировой переход,Один раз за сценарий открой переход из здания в выбранный раскрытый мир без обычной подготовки портала.,Переход требует дополнительную цену и даёт риск отката.,3 Полномочие + 2 Огонь + 1 Связь,Улучшается только после успешного безопасного перехода всей команды.,SD05 — Страж Порога,"Финальный портал базы. Разлом повреждает, если через него вошёл долг или Искажение."
BLDG-020,Сад Общественного Корня,Редкий кампанийный модуль / восстановление мира,"В начале раунда команда выбирает: восстановить 1 Корень, снять 1 Искажение зоны или получить 1 Витика/Пища.","Выбор остаётся, но требует оплатить 1 Импульс.",3 Витика + 2 Память + 1 Огонь,Становится постоянной кампанийной Формой после трёх успешных восстановлений.,SD08 — Ангельский Посланник / Миротворец Связей,"Проверить, не решает ли Корни слишком легко. Разлом повреждает через заражение Корня."
