ID,колода,название,мир/орбиталь,тип существа,что предлагает,что требует,риск,как получить помощь,как потерять,связанная колода,тестовая заметка
ALLY-024,Союзники,Мастер новой мерности,Синтезный мир,архитектор перехода,даёт новый слот Формы или закон зоны,успешный переход и Интеграция,нестабильный слот может закрыться,пройти переход без нижнего долга,закрепить мерность без проверки,Формы; Развитие,поздняя кампания
ALLY-025,Союзники,Хранительница общей Формы,Синтезный мир,хранитель формы команды,защищает систему Экополиса,2 Связи или восстановленная структура,общий откат при пробое,восстановить одну часть системы,складывать все здания без риска,Экополис; Формы,защита базы
ALLY-026,Союзники,Райский садовник примирения,Рай,орбитальный союзник,снимает конфликт и лечит связь,совершить помощь без оплаты,медлит боевой темп,выбрать помощь вместо атаки,нарушить перемирие,Союзники; Орбитали,рай не отменяет цену
ALLY-027,Союзники,Фейный бегун короткой тропы,Мир фей и лепреконов,проводник-трикстер,открывает одноразовый короткий путь,оставить ресурс-подарок,путь меняет направление при обмане,заплатить до движения,торговаться после прохода,Порталы; Орбитали,быстрый путь
ALLY-028,Союзники,Нижний информатор долгов,Ад + Демонский + Омарный мир,опасный информатор,показывает скрытый долг врага или команды,признать один свой долг,может предложить грязную скидку,записать цену сделки,скрыть сделку от команды,Посредники; Законы мира,нижний не враг
ALLY-029,Союзники,Лучевой наставник практики,Учителя Лучей,наставник,улучшает стартовую карту тренировкой,пройти испытание функции,Усталость обучения,исполнить роль честно,использовать урок для доминирования,Развитие; Экополис,рост без халявы
ALLY-030,Союзники,Сириусский картограф орбит,Аштар / Сириус,звёздный картограф,предсказывает сдвиг орбитали,1 Ясность и чистый канал,чужой сигнал вмешивается,очистить канал,сдвигать орбиту вслепую,Орбитали; Порталы,переменные орбитали
ALLY-031,Союзники,Ангельский хранитель связи,Ангельская цивилизация,защитник связи,защищает союзников от Искажения связи,мирный выбор,оставляет угрозу без атаки,выбрать защиту,использовать как оружие,Союзники; Тонкий мир,ангел не оружие
ALLY-032,Союзники,Аркановый спутник героя,Архетипы / Арканы,архетипический союзник,даёт герою альтернативный выбор,принять испытание архетипа,невыбранный путь остаётся следом,назвать страх или дар героя,взять силу без испытания,Персонажи; События,архетип как выбор
ALLY-033,Союзники,Махатмический советник действия,Махатмы / 64 Духа / Санат Кумары,советник,даёт верхнюю подсказку для нижнего действия,выполнить совет физически,знание без действия становится долгом,сделать малое служение,копить советы,Кампания; Экополис,мудрость в действие
ALLY-034,Союзники,Сефирный балансировщик,Элохимы / Сефиры,балансировщик силы,обменивает сильный эффект на стабильный,уменьшить свой бонус,темп падает,выбрать меру,разогнать комбо без меры,Законы мира,предохранитель
ALLY-035,Союзники,Хранитель качества имени,Аллах / 99 Имён,хранитель качества,даёт действию одно качество: защита/милость/мера/суд,уважительный выбор одного качества,неверное качество закрывает эффект,обосновать качество ситуацией,использовать имя как ярлык бонуса,Законы мира; Орбитали,бережный нейминг
ALLY-036,Союзники,Миротворец будущей миссии,Христос / Майтрея,примиритель,превращает конфликт в миссию восстановления,"помочь тому, кто был угрозой",прощение без действия повторяет долг,сделать восстановительный шаг,отменить цену словами,Кампания; Союзники,милость с действием
