ID,колода,название,когда тянется,эффект,варианты решения,цена успеха,последствие провала,роль с преимуществом,связанная колода,тестовая заметка
EVR-028,События раунда,Ресурс истощается: Огонь,"Фаза экономики, если один ресурс был взят 2+ раза","Один тип ресурса становится дефицитным. Игроки могут перераспределить экономику, найти замену или принять рост цены.","сэкономить; обменять; искать новый источник; перегрузить Экополис",1 Связь или 1 Закон,Следующая карта этого ресурса стоит +1 или уходит из рынка.,Огненный Проводник,Ресурсы / Экополис / Deckbuilding,"Дефицит должен менять стратегию, а не просто замедлять игру."
EVR-029,События раунда,Ресурс истощается: Полномочие,"Фаза экономики, если один ресурс был взят 2+ раза","Один тип ресурса становится дефицитным. Игроки могут перераспределить экономику, найти замену или принять рост цены.","сэкономить; обменять; искать новый источник; перегрузить Экополис",1 Связь или 1 Закон,Следующая карта этого ресурса стоит +1 или уходит из рынка.,Страж Порога,Ресурсы / Экополис / Deckbuilding,"Дефицит должен менять стратегию, а не просто замедлять игру."
EVR-030,События раунда,Ресурс истощается: Связь,"Фаза экономики, если один ресурс был взят 2+ раза","Один тип ресурса становится дефицитным. Игроки могут перераспределить экономику, найти замену или принять рост цены.","сэкономить; обменять; искать новый источник; перегрузить Экополис",1 Связь или 1 Закон,Следующая карта этого ресурса стоит +1 или уходит из рынка.,Ангельский Посланник,Ресурсы / Экополис / Deckbuilding,"Дефицит должен менять стратегию, а не просто замедлять игру."
EVR-031,События раунда,Шанс: Райская дуга совпала,"Когда орбиталь даёт благоприятную конъюнкцию","Мир даёт шанс: можно получить дар, ускорить маршрут, очистить состояние или открыть временный переход, но шанс исчезнет в конце раунда.","взять дар; подготовиться; передать шанс союзнику; отказаться ради безопасности",1 Импульс или действие,Шанс закрывается и становится упущенным следом; следующая похожая возможность дороже.,Ангельский Посланник,Орбитали / События / Порталы,"Шанс должен заставлять действовать сейчас, но не быть обязательным."
EVR-032,События раунда,Шанс: Фейный клад близко,"Когда орбиталь даёт благоприятную конъюнкцию","Мир даёт шанс: можно получить дар, ускорить маршрут, очистить состояние или открыть временный переход, но шанс исчезнет в конце раунда.","взять дар; подготовиться; передать шанс союзнику; отказаться ради безопасности",1 Импульс или действие,Шанс закрывается и становится упущенным следом; следующая похожая возможность дороже.,Странник Кругов,Орбитали / События / Порталы,"Шанс должен заставлять действовать сейчас, но не быть обязательным."
EVR-033,События раунда,Шанс: Сириусский сигнал,"Когда орбиталь даёт благоприятную конъюнкцию","Мир даёт шанс: можно получить дар, ускорить маршрут, очистить состояние или открыть временный переход, но шанс исчезнет в конце раунда.","взять дар; подготовиться; передать шанс союзнику; отказаться ради безопасности",1 Импульс или действие,Шанс закрывается и становится упущенным следом; следующая похожая возможность дороже.,Звёздный Навигатор,Орбитали / События / Порталы,"Шанс должен заставлять действовать сейчас, но не быть обязательным."
EVR-034,События раунда,Шанс: Ангельская весть,"Когда орбиталь даёт благоприятную конъюнкцию","Мир даёт шанс: можно получить дар, ускорить маршрут, очистить состояние или открыть временный переход, но шанс исчезнет в конце раунда.","взять дар; подготовиться; передать шанс союзнику; отказаться ради безопасности",1 Импульс или действие,Шанс закрывается и становится упущенным следом; следующая похожая возможность дороже.,Ангельский Посланник,Орбитали / События / Порталы,"Шанс должен заставлять действовать сейчас, но не быть обязательным."
EVR-035,События раунда,Шанс: Аркановый поворот,"Когда орбиталь даёт благоприятную конъюнкцию","Мир даёт шанс: можно получить дар, ускорить маршрут, очистить состояние или открыть временный переход, но шанс исчезнет в конце раунда.","взять дар; подготовиться; передать шанс союзнику; отказаться ради безопасности",1 Импульс или действие,Шанс закрывается и становится упущенным следом; следующая похожая возможность дороже.,Арканист,Орбитали / События / Порталы,"Шанс должен заставлять действовать сейчас, но не быть обязательным."
EVR-036,События раунда,Шанс: Махатмическая подсказка,"Когда орбиталь даёт благоприятную конъюнкцию","Мир даёт шанс: можно получить дар, ускорить маршрут, очистить состояние или открыть временный переход, но шанс исчезнет в конце раунда.","взять дар; подготовиться; передать шанс союзнику; отказаться ради безопасности",1 Импульс или действие,Шанс закрывается и становится упущенным следом; следующая похожая возможность дороже.,Синтезатор,Орбитали / События / Порталы,"Шанс должен заставлять действовать сейчас, но не быть обязательным."
EVR-037,События раунда,Житель вмешивается: Фейный должник,"После открытия зоны или при конфликте с орбиталью","Житель мира вмешивается и меняет условия: предлагает помощь, требует цену, открывает скрытый путь или создаёт социальное давление.","договориться; помочь; отказать; использовать Инструмент; попросить посредника",1 Связь или подходящий Инструмент,Житель создаёт долг, блокирует путь или ухудшает отношение фракции/зоны.,Миротворец Связей,Жители / Орбитали / Сюжет,"Житель должен быть не монстром, а социальным узлом выбора."
EVR-038,События раунда,Житель вмешивается: Ангельский свидетель,"После открытия зоны или при конфликте с орбиталью","Житель мира вмешивается и меняет условия: предлагает помощь, требует цену, открывает скрытый путь или создаёт социальное давление.","договориться; помочь; отказать; использовать Инструмент; попросить посредника",1 Связь или подходящий Инструмент,Житель создаёт долг, блокирует путь или ухудшает отношение фракции/зоны.,Ангельский Посланник,Жители / Орбитали / Сюжет,"Житель должен быть не монстром, а социальным узлом выбора."
EVR-039,События раунда,Житель вмешивается: Посредник Сна,"После открытия зоны или при конфликте с орбиталью","Житель мира вмешивается и меняет условия: предлагает помощь, требует цену, открывает скрытый путь или создаёт социальное давление.","договориться; помочь; отказать; использовать Инструмент; попросить посредника",1 Связь или подходящий Инструмент,Житель создаёт долг, блокирует путь или ухудшает отношение фракции/зоны.,Провидец Орбиталей,Жители / Орбитали / Сюжет,"Житель должен быть не монстром, а социальным узлом выбора."
EVR-040,События раунда,Житель вмешивается: Страж нижнего стыка,"После открытия зоны или при конфликте с орбиталью","Житель мира вмешивается и меняет условия: предлагает помощь, требует цену, открывает скрытый путь или создаёт социальное давление.","договориться; помочь; отказать; использовать Инструмент; попросить посредника",1 Связь или подходящий Инструмент,Житель создаёт долг, блокирует путь или ухудшает отношение фракции/зоны.,Страж Порога,Жители / Орбитали / Сюжет,"Житель должен быть не монстром, а социальным узлом выбора."
EVR-041,События раунда,Житель вмешивается: Учитель Луча,"После открытия зоны или при конфликте с орбиталью","Житель мира вмешивается и меняет условия: предлагает помощь, требует цену, открывает скрытый путь или создаёт социальное давление.","договориться; помочь; отказать; использовать Инструмент; попросить посредника",1 Связь или подходящий Инструмент,Житель создаёт долг, блокирует путь или ухудшает отношение фракции/зоны.,Носитель Луча,Жители / Орбитали / Сюжет,"Житель должен быть не монстром, а социальным узлом выбора."
EVR-042,События раунда,Житель вмешивается: Звёздный курьер,"После открытия зоны или при конфликте с орбиталью","Житель мира вмешивается и меняет условия: предлагает помощь, требует цену, открывает скрытый путь или создаёт социальное давление.","договориться; помочь; отказать; использовать Инструмент; попросить посредника",1 Связь или подходящий Инструмент,Житель создаёт долг, блокирует путь или ухудшает отношение фракции/зоны.,Звёздный Навигатор,Жители / Орбитали / Сюжет,"Житель должен быть не монстром, а социальным узлом выбора."
EVR-043,События раунда,Орбиталь сдвинулась не по расписанию,"После любого точного совпадения 64/16 или 64/22","Одна орбиталь сдвигается на дополнительную позицию. Текущее событие усиливается, но будущая конъюнкция меняется.","принять сдвиг; заплатить за стабилизацию; повернуть другую орбиталь; изменить маршрут",1 Полномочие или 1 Закон,Следующая конъюнкция становится опасной или неизвестной.,Провидец Орбиталей,Орбитали / 64-позиционный диск,"Нужна для ощущения живой системы кругов."
EVR-044,События раунда,Аркановая орбиталь задела сектор,"При редком совпадении 64-позиционного диска и 22-позиционной орбитали","Аркановая орбиталь даёт событие судьбы: роль, закон, маршрут или миссия могут измениться до конца сценария.","принять Аркан; смягчить через Память; попросить помощь; отказаться и получить Шрам",1 Память + 1 Ясность,Аркан превращается в трудное испытание или меняет будущую карту.,Арканист,Арканы / Метагалактический Дух,"Арканы должны быть редкими и сильными, не обычным бонусом."
EVR-045,События раунда,Рай просит восстановить потерянное,"Когда Райская орбиталь совпадает с повреждённой зоной","Райская орбиталь предлагает восстановление: можно снять повреждение, но нужно выбрать, что команда отдаёт взамен.","восстановить; передать дар другому; отказаться; превратить в миссию",1 Жертва или 1 Связь,Восстановление не происходит; зона получает метку незавершённой просьбы.,Ангельский Посланник,Рай / Восстановление / Экополис,"Восстановление не должно быть бесплатным лечением всего."
EVR-046,События раунда,Фейный мир меняет цену сделки,"Когда игрок покупает, меняет или берёт ресурс в зоне влияния фей","Фейная орбиталь предлагает выгодный обмен с подвохом: ресурс дешевле, но появляется скрытое обязательство.","принять сделку; раскрыть подвох; заплатить честную цену; отказаться",1 Ясность или +1 ресурс,Фейный долг кладётся на зону или карту игрока.,Странник Кругов,Фейная орбиталь / Рынок / Ресурсы,"Добавляет сказочный риск без прямой боёвки."
EVR-047,События раунда,Нижний мир требует быстрый выход,"Когда объединённый нижний мир касается маршрута команды","Нижний комплекс открывает короткий путь. Он быстрее, но может принести страх, долг или повреждение Формы.","идти коротко; искать чистый путь; попросить Стража; потратить Огонь",1 Огонь или 1 Полномочие,Маршрут сокращён, но команда получает нижний долг или Искажение.,Страж Порога,Нижний мир / Порталы / Разлом,"Короткий путь должен быть соблазном, а не обязательным оптимумом."
EVR-048,События раунда,Сириусский сигнал зовёт в сторону,"Когда Аштар/Сириус орбиталь совпадает с клеткой связи или пути","Появляется дальний сигнал. Он может открыть новый маршрут, карту или подсказку, но уводит от текущей цели.","следовать сигналу; записать координату; игнорировать; отправить одного игрока",1 Ясность или 1 Инструмент навигации,Сигнал исчезает и позже возвращается как более дорогой маршрут.,Звёздный Навигатор,Аштар / Сириус / Порталы,"Проверить, не дробит ли команда слишком часто."
EVR-049,События раунда,Учителя Лучей меняют условие миссии,"Когда миссия связана с Тонким миром или Лучом","Миссия получает уточнение: простое выполнение уже недостаточно, нужно совершить действие в правильном направлении.","принять уточнение; отложить миссию; попросить наставление; выполнить минимально",1 Связь + 1 Ясность,Миссия остаётся, но награда уменьшается или становится отложенной.,Носитель Луча,Лучевые орбитали / Миссии,"Хорошо для кампании, осторожно в коротком сценарии."
EVR-050,События раунда,Ангельский коридор требует чистого действия,"Когда игрок хочет очистить Искажение или защитить связь","Открывается мягкий безопасный путь, но только если действие не использует нижний долг или скрытую цену.","действовать чисто; отказаться; попросить помощь; выполнить через жертву",1 Чистота состояния или 1 помощь союзника,Коридор закрывается, а следующее очищение стоит дороже.,Ангельский Посланник,Ангельская орбиталь / Искажения,"Проверка этической цены без морализаторства."
EVR-051,События раунда,Закон мира меняется на один раунд,"После Великой конъюнкции или карты Закона","Один активный Закон мира получает временную поправку. Команда может использовать её или заплатить, чтобы вернуть обычное правило.","использовать; отменить; закрепить; перевести в испытание",1 Закон или 1 Полномочие,Закон остаётся искажённым до следующего раунда.,Арканист,Законы мира / Конъюнкции,"Событие должно показывать, что мир живой и меняет правила."
EVR-052,События раунда,Портальный рынок обновился,"После сдвига орбитали, если открыт хотя бы один стабильный портал","Рынок развития связан с портальной системой: одна карта рынка заменяется, а похожая функция даёт временную скидку.","купить сейчас; заморозить карту; заменить рынок; отказаться ради ресурса",1 Память или 1 Импульс,Нужная карта уходит, а новый рынок входит с более высокой ценой.,Синтезатор,Deckbuilding / Порталы / Рынок,"Связать deckbuilding с космологией, а не делать отдельным магазином."
EVR-053,События раунда,Форма просит закрепления,"Когда созданная Форма пережила раунд","Временная Форма может стать устойчивой, если команда оплатит цену. Иначе она исчезает или оставляет след.","закрепить; переплавить; оставить временной; передать другой зоне",1 Материя + 1 Память,Форма исчезает и оставляет слабый Шрам или Пепел.,Архитектор Форм,Формы / Строительство / Кампания,"Учить, что форма — это ответственность."
EVR-054,События раунда,Инструмент перегрелся,"После второго использования одного Инструмента за раунд","Инструмент даёт дополнительное действие, но может получить повреждение, если не охлаждён или не обслужен.","использовать ещё раз; охладить; передать; отложить",1 Материя или 1 Огонь,Инструмент повреждается или уходит в ремонт Экополиса.,Алхимик Событий,Инструменты / Экополис,"Ограничивает спам сильных инструментов."
EVR-055,События раунда,Корень зоны даёт слабый зов,"Когда зона с Корнем не восстанавливалась 2 раунда","Корень просит внимания. Восстановление сейчас даёт ресурс, игнорирование усиливает будущий Разлом.","восстановить; записать след; отложить; пожертвовать ресурс",1 Витика / Пища / Память,Корень получает повреждение или притягивает нижнюю орбиталь.,Миротворец Связей,Корни / Формы / Экополис,"Корни должны быть живым приоритетом, не фоном."
EVR-056,События раунда,Миссия требует общего решения,"В начале раунда, если у команды 2+ активные цели","Команда должна выбрать общий приоритет. Выбранная цель получает бонус, остальные дорожают или уходят в ожидание.","выбрать одну цель; разделиться; попросить совет; отложить все",1 Связь,Одна цель получает метку задержки или меньшую награду.,Миротворец Связей,Миссии / Кампания / Экополис,"Помогает против расползания партии."
EVR-057,События раунда,Синтезный след спускается вниз,"После карты Рождение Свыше, Миракль или Синтезной Формы","Верхний результат хочет проявиться в нижнем мире. Команда выбирает, где он закрепится: персонаж, зона, портал или Экополис.","закрепить в персонаже; закрепить в зоне; закрепить в портале; отложить интеграцию",1 Синтез + 1 Память,Синтезный след становится откатом или исчезает без пользы.,Синтезатор,Синтезный мир / Формы / Практики,"Не давать постоянный эффект без интеграции."
EVR-058,События раунда,Огненный переход перегревает маршрут,"Когда Огонь использован 3+ раза или открыт огненный портал","Маршрут становится быстрее, но каждая следующая попытка требует охлаждения или создаёт Накал.","охладить; идти через Накал; чинить Форму; ждать",1 Огонь или 1 Жертва,Маршрут получает Пепельный След или Разрыв.,Огненный Проводник,Огонь / Порталы / Формы,"Темп и опасность Огненного мира."
EVR-059,События раунда,Метагалактический допуск проверяется,"Когда игрок действует выше текущего уровня","Мир проверяет Полномочие: можно выполнить сильное действие, но без допуска оно создаёт долг или ограничение.","предъявить Полномочие; пройти проверку; попросить Стража; снизить действие",1 Полномочие или 1 Закон,Сильное действие проходит с долгом или не проходит и блокирует карту.,Страж Порога,Полномочия / Аттестация / Законы,"Хороший фильтр power creep."
EVR-060,События раунда,Совет 32 организаций собирается,"Фаза обслуживания Экополиса в конце/начале раунда","Один модуль Экополиса получает нагрузку; его эффект можно сохранить через ремонт, согласование или принятие временного ограничения.","ремонтировать; временно отключить здание; распределить цену; преобразовать проблему в Форму",1 Материя + 1 Связь,Здание работает в повреждённом режиме до ремонта.,Ангельский Посланник,Экополис IVDIVO / Здания / Роли,"Использовать активный термин Экополис вместо старого Убежища."
