source_id,title,author,drive_filename,drive_file_id,drive_folder_id,drive_folder_path,status,duplicate_note,last_verified
B02-RR-IRON,Iron Gold,Pierce Brown,Iron_Gold_Red_Rising_Saga_4_-_Pierce_Brown.epub,1KSv552Kyo7p6j54p04JKuYVv-fsjclaO,1irERtNWCcdYnjca9mfe44cvEPupzcJiI,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/10_PIERCE_BROWN_RED_RISING,ROUTED,,2026-08-16
B02-RR-MORNING,Morning Star,Pierce Brown,Morning_Star_Red_Rising_Saga_3_-_Pierce_Brown.epub,1cMyBKRppuKYHtGnjSQ_fm1UOrbb6L4sX,1irERtNWCcdYnjca9mfe44cvEPupzcJiI,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/10_PIERCE_BROWN_RED_RISING,ROUTED,CANONICAL_COPY,2026-08-16
B02-RR-MORNING-DUP,Morning Star,Pierce Brown,Morning_Star_Red_Rising_Saga_3_-_Pierce_Brown (1).epub,1mTGJPyQ_rzlzf3JHzPjp0fH8QY8dgaA8,1T0TAJzSiNDVPZv9kzrVSwXRSjEQ-5O6r,IVDIVO_LIBRARY/20_ARCHIVE_DUPLICATES,DUPLICATE_ARCHIVED,SAME_SIZE_NAME_DUP,2026-08-16
B02-SKY-SKYWARD,Skyward,Brandon Sanderson,Skyward_-_Brandon_Sanderson.epub,1naZxVR0l1vylwugV-T_6jhjfSK1ggB3P,1s-zTslLIKRLURKpBnLJg16mC8IB_3BVq,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/11_BRANDON_SANDERSON_SKYWARD,ROUTED,,2026-08-16
B02-SKY-SKYWARD-ALT,Skyward,Brandon Sanderson,Skyward_1_Brandon_Sanderson.epub,1VS8ct8w1nVZNnTeGouq7yhfGQT87BBf-,1s-zTslLIKRLURKpBnLJg16mC8IB_3BVq,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/11_BRANDON_SANDERSON_SKYWARD,ROUTED,ALT_EDITION,2026-08-16
B02-SKY-SKYWARD-ALT2,Skyward,Brandon Sanderson,Sanderson_Brandon_-_Skyward_1_-_Skyward (1).epub,1fMUBwug3Aq-DZxT_jEC96T2D64puKFMb,1s-zTslLIKRLURKpBnLJg16mC8IB_3BVq,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/11_BRANDON_SANDERSON_SKYWARD,ROUTED,ALT_EDITION_KEEP_ONE,2026-08-16
B02-SKY-SKYWARD-DUP,Skyward,Brandon Sanderson,Sanderson_Brandon_-_Skyward_1_-_Skyward (2).epub,1xy_2Onfrd-5fQjKgUjPLCdxlURdKnZUS,1T0TAJzSiNDVPZv9kzrVSwXRSjEQ-5O6r,IVDIVO_LIBRARY/20_ARCHIVE_DUPLICATES,DUPLICATE_ARCHIVED,SAME_SIZE_WITH_ALT2,2026-08-16
B02-SKY-STARSIGHT,Starsight,Brandon Sanderson,Starsight_-_Brandon_Sanderson.epub,1MrgoUI8-w1vVUc8g1N8C25KPG5diBN7M,1s-zTslLIKRLURKpBnLJg16mC8IB_3BVq,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/11_BRANDON_SANDERSON_SKYWARD,ROUTED,,2026-08-16
B02-SKY-STARSIGHT-ALT,Starsight,Brandon Sanderson,Starsight_2_Brandon_Sanderson.epub,1eznQ9N_AZjan_FERzEHcUFPMn370jTwd,1s-zTslLIKRLURKpBnLJg16mC8IB_3BVq,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/11_BRANDON_SANDERSON_SKYWARD,ROUTED,ALT_EDITION,2026-08-16
B02-SKY-STARSIGHT-DUP1,Starsight,Brandon Sanderson,Sanderson_Brandon_-_Skyward_2_-_Starsight (1).epub,1V5AdpG_eJFM5vPlkGMrlRg0ms6X2Nh_g,1T0TAJzSiNDVPZv9kzrVSwXRSjEQ-5O6r,IVDIVO_LIBRARY/20_ARCHIVE_DUPLICATES,DUPLICATE_ARCHIVED,SAME_SIZE_WITH_ALT,2026-08-16
B02-SKY-STARSIGHT-DUP2,Starsight,Brandon Sanderson,Sanderson_Brandon_-_Skyward_2_-_Starsight (2).epub,1JNHt1xM0paQ8Y-jd5A1S4rodZDeJUjJH,1T0TAJzSiNDVPZv9kzrVSwXRSjEQ-5O6r,IVDIVO_LIBRARY/20_ARCHIVE_DUPLICATES,DUPLICATE_ARCHIVED,SAME_SIZE_WITH_ALT,2026-08-16
B02-SKY-CYTONIC,Cytonic,Brandon Sanderson,Cytonic_-_Brandon_Sanderson.epub,18nOkMhurdMe8kz-AcAhmUly8sJorOeUl,1s-zTslLIKRLURKpBnLJg16mC8IB_3BVq,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/11_BRANDON_SANDERSON_SKYWARD,ROUTED,,2026-08-16
B02-SKY-DEFIANT,Defiant,Brandon Sanderson,Defiant_-_Brandon_Sanderson.epub,1f3bqLfLDnsztR-8fBxvse5PHMW7lO1N8,1s-zTslLIKRLURKpBnLJg16mC8IB_3BVq,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/11_BRANDON_SANDERSON_SKYWARD,ROUTED,,2026-08-16
B02-SKY-SUNREACH,Sunreach,Brandon Sanderson,Sanderson_Brandon_-_Skyward_2_5_-_Sunreach (1).epub,1NrsmNgFrkSh-UeOSOVS51ecn4f7MEQvI,1s-zTslLIKRLURKpBnLJg16mC8IB_3BVq,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/11_BRANDON_SANDERSON_SKYWARD,ROUTED,CANONICAL_COPY,2026-08-16
B02-SKY-SUNREACH-DUP,Sunreach,Brandon Sanderson,Sanderson_Brandon_-_Skyward_2_5_-_Sunreach (2).epub,1DFjtH_lkMEKyrQ9N3VAn4oOcoESUOBV_,1T0TAJzSiNDVPZv9kzrVSwXRSjEQ-5O6r,IVDIVO_LIBRARY/20_ARCHIVE_DUPLICATES,DUPLICATE_ARCHIVED,SAME_SIZE_NAME_DUP,2026-08-16
B02-SKY-REDAWN,ReDawn,Brandon Sanderson,Sanderson_Brandon_-_Skyward_2_6_-_ReDawn (2).epub,1DwZh_DAyp4tjlQphOd-82t8QwALyd3Ns,1s-zTslLIKRLURKpBnLJg16mC8IB_3BVq,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/11_BRANDON_SANDERSON_SKYWARD,ROUTED,CANONICAL_COPY,2026-08-16
B02-SKY-REDAWN-DUP,ReDawn,Brandon Sanderson,Sanderson_Brandon_-_Skyward_2_6_-_ReDawn (3).epub,1ttXqUnAgOmV5zHI8S1oWgg-3vhWnuCHR,1T0TAJzSiNDVPZv9kzrVSwXRSjEQ-5O6r,IVDIVO_LIBRARY/20_ARCHIVE_DUPLICATES,DUPLICATE_ARCHIVED,SAME_SIZE_NAME_DUP,2026-08-16
B02-SCYTHE-A,Scythe,Neal Shusterman,Scythe_Arc_of_a_Scythe_1_-_Neal_Shusterman.epub,10QoJcOC_9LgceXXohFX4PPYXJxE1xwU3,1NYZ2QJrWPzMp5xXey0as1iUZ7AgvbpBo,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/12_NEAL_SHUSTERMAN_SCYTHE,ROUTED,ALT_VERSION_A,2026-08-16
B02-SCYTHE-B,Scythe,Neal Shusterman,1_Scythe_by_Neal_Shusterman.epub,1J5827mu1EEb-G3gfkCblwgcn0wb5pufa,1NYZ2QJrWPzMp5xXey0as1iUZ7AgvbpBo,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/12_NEAL_SHUSTERMAN_SCYTHE,ROUTED,ALT_VERSION_B,2026-08-16
B02-SCYTHE-PDF,Scythe,Neal Shusterman,1_Scythe_by_Neal_Shusterman.pdf,18nL6ZbY6JIq8rDOTmaISSWzEnqiBjs8d,1NYZ2QJrWPzMp5xXey0as1iUZ7AgvbpBo,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/12_NEAL_SHUSTERMAN_SCYTHE,ROUTED,PDF_VERSION,2026-08-16
B02-OSC-MM-STONE,Stonefather,Orson Scott Card,0_5_Stonefather_Mither_Mages_0_5_by_Orson_Scott_Card.epub,1uN5izmgbEEuxHcfzQd2ApF5Etaoxd5fm,1_p0tFmqBDYRo8wrfF2q4-JmQ_y_Dw3AB,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/01_MITHER_MAGES,ROUTED,CANONICAL_COPY,2026-08-16
B02-OSC-MM-STONE-DUP,Stonefather,Orson Scott Card,Stonefather_by_Orson_Scott_Card.epub,1e1KxbnkVhI73B02kSbmZomQZBxtIdIM-,1T0TAJzSiNDVPZv9kzrVSwXRSjEQ-5O6r,IVDIVO_LIBRARY/20_ARCHIVE_DUPLICATES,DUPLICATE_ARCHIVED,SAME_SIZE,2026-08-16
B02-OSC-MM-LOST1,The Lost Gate,Orson Scott Card,1_The_Lost_Gate_Mither_Mages_1_by_Orson_Scott_Card.epub,1mm6dhLGOiQlVlzf72mIkTNsHwWAJmTse,1_p0tFmqBDYRo8wrfF2q4-JmQ_y_Dw3AB,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/01_MITHER_MAGES,ROUTED,CANONICAL_SERIES_NAMING,2026-08-16
B02-OSC-MM-LOST-ALT,The Lost Gate,Orson Scott Card,The_Lost_Gate_by_Orson_Scott_Card.epub,1m56pVyRdasfxSpWvMvFpWu0h2LL4Qnyb,1_p0tFmqBDYRo8wrfF2q4-JmQ_y_Dw3AB,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/01_MITHER_MAGES,ROUTED,ALT_VERSION_DIFFERENT_SIZE,2026-08-16
B02-OSC-MM-GATE2,The Gate Thief,Orson Scott Card,2_The_Gate_Thief_Mither_Mages_2_by_Orson_Scott_Card.epub,1z460PBAZpV_zYctk11EZfONyVhPXZm8S,1_p0tFmqBDYRo8wrfF2q4-JmQ_y_Dw3AB,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/01_MITHER_MAGES,ROUTED,CANONICAL_SERIES_NAMING,2026-08-16
B02-OSC-MM-GATE-ALT,The Gate Thief,Orson Scott Card,The_Gate_Thief_by_Orson_Scott_Card.epub,1ciy-ld5doqh678RkKjox17ttWjSPf1F2,1_p0tFmqBDYRo8wrfF2q4-JmQ_y_Dw3AB,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/01_MITHER_MAGES,ROUTED,ALT_VERSION_DIFFERENT_SIZE,2026-08-16
B02-OSC-MM-FATHER3,Gatefather,Orson Scott Card,3_Gatefather_Mither_Mages_3_by_Orson_Scott_Card.epub,1h8aeeFRB9AoTBf-0nJUECUL5B6qUEMXC,1_p0tFmqBDYRo8wrfF2q4-JmQ_y_Dw3AB,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/01_MITHER_MAGES,ROUTED,EPUB_VERSION,2026-08-16
B02-OSC-MM-FATHER-MOBI,Gatefather,Orson Scott Card,Gatefather_by_Card_Orson_Scott.mobi,19lkBZxFEQO0dRtfmNe6GIkAXdIy1L-s8,1_p0tFmqBDYRo8wrfF2q4-JmQ_y_Dw3AB,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/01_MITHER_MAGES,ALTERNATE_FORMAT,MOBI_VERSION,2026-08-16
B02-OSC-MM-FRENCH,Stonefather / Pere-des-Pierre,Orson Scott Card,_OceanofPDF.com_Pere-des-Pierre_Un_conte_de_Westil_le_Monde_des_mages_French_Edition_-_Card_Orson_Scott.epub,1mv1tnKqGVERp3md-hvR-avPKdXjEA9Y9,1_p0tFmqBDYRo8wrfF2q4-JmQ_y_Dw3AB,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/01_MITHER_MAGES,ROUTED,FRENCH_EDITION,2026-08-16
B02-OSC-ENDER-GAME,Ender's Game,Orson Scott Card,_OceanofPDF.com_1_Enderova_hra_Czech_Edition_-_Card_Orson_Scott.epub,1lWibWjCRIfB9DY0DSgAMYw1nnWHTePQS,1qRoQ18LgGuPvcAKhzGXhmoqdRAsD-dDl,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/02_ENDER_UNIVERSE,ROUTED,CZECH_EDITION,2026-08-16
B02-OSC-ENDER-SHADOW,Ender's Shadow,Orson Scott Card,_OceanofPDF.com_Enders_Schaduw_Dutch_Edition_-_Card_Orson_Scott.epub,15WlDIFrUknregmgL14B1fBg4GJqJO0GI,1qRoQ18LgGuPvcAKhzGXhmoqdRAsD-dDl,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/02_ENDER_UNIVERSE,ROUTED,DUTCH_EDITION,2026-08-16
B02-OSC-ENDER-SPEAKER,Speaker for the Dead,Orson Scott Card,_OceanofPDF.com_Spreker_voor_de_Doden_Dutch_Edition_-_Orson_Scott_Card.epub,1Czg9MCtxPfQNCVF_-PikGWHAisRO9H8Y,1qRoQ18LgGuPvcAKhzGXhmoqdRAsD-dDl,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/02_ENDER_UNIVERSE,ROUTED,DUTCH_EDITION,2026-08-16
B02-OSC-ENDER-CHILDREN,Children of the Mind,Orson Scott Card,_OceanofPDF.com_Kinderen_van_de_geest_Dutch_Edition_-_Card_Orson_Scott.epub,15DmTiGJ4m2KwNSMXyGbfJ0_zrlgW8KyD,1qRoQ18LgGuPvcAKhzGXhmoqdRAsD-dDl,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/02_ENDER_UNIVERSE,ROUTED,DUTCH_EDITION,2026-08-16
B02-OSC-ENDER-QUARTET,The Ender Quartet Box Set,Orson Scott Card,_OceanofPDF.com_The_Ender_Quartet_Box_Set_English_-_Orson_Scott_Card.epub,1JKuvvVgCBQAL4XgYPyB1IHw_4Spbj4NV,1qRoQ18LgGuPvcAKhzGXhmoqdRAsD-dDl,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/02_ENDER_UNIVERSE,ROUTED,ENGLISH_COLLECTION,2026-08-16
B02-OSC-ENDER-PUPPETS,Shadow Puppets,Orson Scott Card,_OceanofPDF.com_Marionetas_de_la_sombra_-_Card_Orson_Scott.epub,1dpZJ7P0r_aG2-OXL9zg-0v74u28VptGT,1qRoQ18LgGuPvcAKhzGXhmoqdRAsD-dDl,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/02_ENDER_UNIVERSE,ROUTED,SPANISH_EDITION,2026-08-16
B02-OSC-OTHER-TREASON,Treason,Orson Scott Card,_OceanofPDF.com_Un_Planeta_Llamado_Traicion_-_Card_Orson_Scott.epub,1KU8Ho--grELuEP1zbP59BwZqsGvVLdz8,1OqqiI-IBsyUrLAqdYGlkmF9VOaBrzXol,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/03_OTHER_CARD_FICTION,ROUTED,SPANISH_EDITION,2026-08-16
B02-OSC-OTHER-ENCHANT,Enchantment,Orson Scott Card,_OceanofPDF.com_Enchantment_A_Classic_Fantasy_with_a_Modern_Twist_-_Orson_Scott_Card.epub,1M9f_2Jhb-h6IL9SxqAiv8SnIA5zOuNLL,1OqqiI-IBsyUrLAqdYGlkmF9VOaBrzXol,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/13_ORSON_SCOTT_CARD_REFERENCE/03_OTHER_CARD_FICTION,ROUTED,,2026-08-16
B02-PSY-NOU,No One Understands You & What to Do About It,,No_One_Understands_You_amp_What_to_do_About_It_Accompanying_PDF.pdf,1dnbJpFQeygSTZBt71nQSbtvvv8xsgZKk,1ty8dvvLFDE6RADJT446xL3mMRfeDBbLm,IVDIVO_LIBRARY/26_PSYCHOLOGY_BEHAVIOUR_SOCIOLOGY,ROUTED,,2026-08-16
B02-SCI-LIFE,What Is Life,Paul Nurse,What_Is_Life_-_Paul_Nurse.epub,1lmeh_kUB4gtJ0dAReiXs0IcA9MuC52Gy,10jEuspNSJGMGTHJ5qjJnXQJo3Y2eAEVF,IVDIVO_LIBRARY/12_AI_ROBOTICS_NEURO_BIO,ROUTED,,2026-08-16
B02-WORLD-SOCIALISM,Socialism: A Very Short Introduction,Michael Newman,Very_Short_Introductions_Michael_Newman_-_Socialism_a_Very_Short_Introduction_Michael_Newman_2005_Oxford_University_Press.pdf,1aNEdSLLZp2fgieIa0ydjps7sDHc7EnTG,1imCGEeNteDE3qs5pLKrso2hQbiF84K-X,IVDIVO_LIBRARY/13_WORLD_HISTORY_INSTITUTIONS,ROUTED,,2026-08-16
B02-WORLD-SAPIENS,Sapiens,Yuval Noah Harari,Yuval_Noah_Harari_Sapiens_-_A_Brief_History_of_Humankind.epub,16gF7exam4vTKJdsXG4T40fPsfCI-jPC8,1imCGEeNteDE3qs5pLKrso2hQbiF84K-X,IVDIVO_LIBRARY/13_WORLD_HISTORY_INSTITUTIONS,ROUTED,,2026-08-16
B02-PER-ECON-1016,The Economist Continental Europe 10-16 Oct 2020,,The_Economist_Continental_Europe_Edition_-_10-16_October_2020.pdf,1iR1-Rj8E0xru7r0TLZ7y-NLDU1mOGDaO,1m7u4cdY7DreYkT-kKVAmh14zBYXB6-Ue,IVDIVO_LIBRARY/27_PERIODICALS_MAGAZINES,ROUTED,CANONICAL_COPY,2026-08-16
B02-PER-ECON-1016-DUP,The Economist Continental Europe 10-16 Oct 2020,,The_Economist_Continental_Europe_Edition_-_10-16_October_2020 (1).pdf,1ocS0eqSLF6JCw5iL83VnuJlmCTwNy5mZ,1T0TAJzSiNDVPZv9kzrVSwXRSjEQ-5O6r,IVDIVO_LIBRARY/20_ARCHIVE_DUPLICATES,DUPLICATE_ARCHIVED,SAME_SIZE_NAME_DUP,2026-08-16
B02-PER-ECON-1024,The Economist 24 Oct 2020,,2020-10-24TheEconomist.pdf,1K97ymmT-gxTPyIWcQSzatjxCqSTcoTtD,1m7u4cdY7DreYkT-kKVAmh14zBYXB6-Ue,IVDIVO_LIBRARY/27_PERIODICALS_MAGAZINES,ROUTED,,2026-08-16
B02-PER-GALAXY,Galaxy's Edge Magazine,,_OceanofPDF.com_Galaxys_Edge_Magazine_-_Orson_Scott_Card.epub,1NhNB81Hfywy6eH50MjNAx7i3eJ-8JAMs,1m7u4cdY7DreYkT-kKVAmh14zBYXB6-Ue,IVDIVO_LIBRARY/27_PERIODICALS_MAGAZINES,ROUTED,,2026-08-16
B02-FAN-ACOTAR1,A Court of Thorns and Roses,Sarah J. Maas,A_Court_of_Thorns_and_Roses_-Sarah_J_Maas.epub,1Wv-2mJV8ZdLvatXpN748G-cK4wrme6wU,1GB_AmyAod40e1U5d84_jgwGvEaA2Wpqn,IVDIVO_LIBRARY/08_FANTASY_REFERENCE/01_SARAH_J_MAAS_ACOTAR,ROUTED,,2026-08-16
B02-FAN-ACOTAR2,A Court of Mist and Fury,Sarah J. Maas,A_Court_of_Mist_and_Fury_-Sarah_J_Maas.epub,1PxnVO7WMhTVA8uS4ZShYN05fSZxa9WaX,1GB_AmyAod40e1U5d84_jgwGvEaA2Wpqn,IVDIVO_LIBRARY/08_FANTASY_REFERENCE/01_SARAH_J_MAAS_ACOTAR,ROUTED,,2026-08-16
B02-FAN-ACOTAR3,A Court of Wings and Ruin,Sarah J. Maas,A_Court_of_Wings_and_Ruin_-_Sarah_J_Maas.epub,1xi_rCdjz8w8yxM77HNlGk13PetSnrq0C,1GB_AmyAod40e1U5d84_jgwGvEaA2Wpqn,IVDIVO_LIBRARY/08_FANTASY_REFERENCE/01_SARAH_J_MAAS_ACOTAR,ROUTED,,2026-08-16
B02-FAN-ACOTAR35,A Court of Frost and Starlight,Sarah J. Maas,Sarah_J_Maas_-_A_Court_of_Frost_and_Starlight.epub,1mTjLCVGtKr8qGIGfgDwHLxJFQDQ2Z2mA,1GB_AmyAod40e1U5d84_jgwGvEaA2Wpqn,IVDIVO_LIBRARY/08_FANTASY_REFERENCE/01_SARAH_J_MAAS_ACOTAR,ROUTED,,2026-08-16
B02-FAN-KA1,Wildest Dreams,Kristen Ashley,Wildest_Dreams_1_-_Kristen_Ashley.epub,1XpYYDAUCFA5yZTbmxuh5y9g1tPShkdD-,1JxfTmlokURWDhnGbCkW2tYcZenRLiLkp,IVDIVO_LIBRARY/08_FANTASY_REFERENCE/02_KRISTEN_ASHLEY_FANTASYLAND,ROUTED,,2026-08-16
B02-FAN-KA2,The Golden Dynasty,Kristen Ashley,The_Golden_Dynasty_2_-_Kristen_Ashley.epub,1--ubyxuTapHncMqRYs9KwDFuneNp14G4,1JxfTmlokURWDhnGbCkW2tYcZenRLiLkp,IVDIVO_LIBRARY/08_FANTASY_REFERENCE/02_KRISTEN_ASHLEY_FANTASYLAND,ROUTED,,2026-08-16
B02-FAN-KA3,Fantastical,Kristen Ashley,Fantastical_3_-_Kristen_Ashley.epub,1q-uoV_0bkPv67DTla-2zCOTJ8ALXOX5t,1JxfTmlokURWDhnGbCkW2tYcZenRLiLkp,IVDIVO_LIBRARY/08_FANTASY_REFERENCE/02_KRISTEN_ASHLEY_FANTASYLAND,ROUTED,,2026-08-16
B02-FAN-KA4,Broken Dove,Kristen Ashley,Broken_Dove_4_-_Kristen_Ashley.epub,1Rf_J-5o_RUFrdyv1yNBMdg765IuFHEAr,1JxfTmlokURWDhnGbCkW2tYcZenRLiLkp,IVDIVO_LIBRARY/08_FANTASY_REFERENCE/02_KRISTEN_ASHLEY_FANTASYLAND,ROUTED,,2026-08-16
B02-FAN-KA5,Midnight Soul,Kristen Ashley,Midnight_Soul_5_-_Kristen_Ashley.epub,1Xy0lLuS3HdNhZYAhbbyOmNhL0feWBEmC,1JxfTmlokURWDhnGbCkW2tYcZenRLiLkp,IVDIVO_LIBRARY/08_FANTASY_REFERENCE/02_KRISTEN_ASHLEY_FANTASYLAND,ROUTED,,2026-08-16
B02-YA-ACEVEDO,Clap When You Land,Elizabeth Acevedo,Clap_When_You_Land_-_Elizabeth_Acevedo.epub,1PCbXQWjTMxCHK30lSyeZ_N6tpeFhPxU7,1WyQvMDD232mklZsx40gaUISFzcA2iWkc,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/01_YOUTH_MEDIA_REFERENCE/09_GENERAL_YA_LITERARY,ROUTED,,2026-08-16
B02-YA-13RW,Thirteen Reasons Why,Jay Asher,Asher_Jay_Thirteen_Reasons_Why_-_royallib_com.epub,1vTq-Lu-_alfJi_jk8-2FWNVbP1qY98F2,1WyQvMDD232mklZsx40gaUISFzcA2iWkc,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/01_YOUTH_MEDIA_REFERENCE/09_GENERAL_YA_LITERARY,ROUTED,,2026-08-16
B02-THR-HIGASHINO,Journey Under the Midnight Sun,Keigo Higashino,Higashino_Keigo_-_Journey_Under_the_Midnight_Sun_1999_Abacus_978-1-405.epub,1Mm-Gouuzyegdg_ldJUh3Y4PuLBGifMdA,1gURHsf7ZcIV6T-4v9k8zmn5Sm5wdHuMM,IVDIVO_LIBRARY/16_REFERENCE_NOVELS/14_MYSTERY_THRILLER_REFERENCE,ROUTED,,2026-08-16
