Mechanism ID,Problem / Gap,Change in IVDIVO,Why it helps,Canon Boundary,Story Opportunity
NH-008,Institutional harm needs human stakes.,"Track who gets believed, protected, compensated, restored or ignored.",Status inequality becomes action consequence.,Avoid importing Yale/class politics literally.,Institutional realism.
NH-010,Smith's erased past needs an investigation spine.,Use a missing/erased mentor/selector whose records connect childhood recruitment to current anomaly.,Personal past becomes actionable evidence.,Only if compatible with canon.,Archive season.
SD-001,Old IVDIVO corpus can be treated as encyclopedic lore.,Convert one old statement/artifact into a present anomaly that must be tested.,"Historical source becomes story evidence, not lecture.",Keep source labels; fiction can transform but not misattribute.,Archive/expedition case.
SD-004,One protagonist may make large universe feel narrow.,Use 2–3 teams with different valid goals converging on same subject/artifact.,Conflict can arise before any villain appears.,Do not overcrowd audio cast.,Event story.
SD-005,Franchise needs repeatable production engine.,Create fixed investigation cell with 4–5 differentiated functions.,New case changes world/office while team continuity lowers exposition cost.,Do not copy Sigma roles.,Production backbone.
SD-009,Field adventure should affect meta-plot.,Every artifact/case must alter at least one institution relationship or authority edge.,No disposable adventures.,[OUR SYNTHESIS] scene/season QA.,Дела Матрицы / Архив.
ROD-001,Smith's exposition currently risks sounding authorial/omniscient.,"Let some service explanations be Smith's sincere interpretation, later contradicted by evidence.",Creates character depth without deleting canon.,Mark what is Smith-belief versus canon fact.,Rewrite Miss Gallagher.
ROD-003,Need to show internalized ideology without lectures.,Put concrete contradictions beside Smith's rationalizations.,Listener infers blindness before Smith admits it.,Avoid making him foolish.,Smith testimony.
ROD-005,Smith and colleagues need relationship texture.,"Let procedural/competence disputes carry hidden loyalty, shame, grief.",Institution scenes gain human stakes.,Do not imitate Ishiguro voice.,Archive interviews.
WAT-001,Hidden world must remain attached to ordinary life.,"Start cases in real hotel, metro, clinic, workplace, road, court.",The unusual overlays ordinary logistics.,Do not copy urban-fantasy aesthetic wholesale.,Accessibility.
WAT-004,Matrix may propose efficient removal of anomaly.,Opposing solution can be operationally sound but unlawful under higher jurisdiction.,Creates serious conflict: effective ≠ permitted.,Directly supports ability ≠ right.,Право силы.
WAT-005,Tether/status phenomena need consistency.,Define observable diagnostics that multiple trained actors can compare.,Readers can reason with rules instead of accepting arbitrary reveals.,"Diagnostics must come from canon, not invented science.",Mystery fairness.
WAT-007,Old hierarchy vs Matrix cannot be simple hero/villain.,Give them shared procedural rules plus genuine disagreement on intervention.,Conflict becomes jurisdiction/ethics rather than faction colors.,Avoid Light/Dark analogy.,Season politics.
WAT-008,Smith is powerful; why not solve everything instantly?,Collateral consequences and lawful limits constrain intervention.,Strong hero remains credible because restraint is part of competence.,Costs/limits must be canon-grounded.,Case tension.
MB-014,Smith has removed others in past; guilt arc could become generic.,Reclassify one past victim only when new evidence proves they were controlled/non-agentic.,Specific evidence changes moral memory.,Do not absolve all past actions.,Testimony episode.
DCC-009,Observation is already important in IVDIVO future/probability model.,"Make observer presence alter incentives/visibility, but track exactly what changes.",Observation becomes causal story variable.,[IVDIVO CANON] align with future stabilization model.,Observer story.
ZK-013,Multiple hierarchies risk being forced into one ladder.,Write cases where actor is high in one coordinate and subordinate in another.,Power map becomes multi-axis and dramatic.,Directly matches existing coordinate model.,Hierarchy conflict.
NH-007,Old records are abundant but static.,Make archive research change current permissions/suspects in the same scene.,Records produce action.,[OUR SYNTHESIS] no lore-only archive scenes.,Archive line.
SD-014,"After action, user wants universe growth.","Always show institutional aftermath: assignment, trust, access, jurisdiction change.",A case leaves permanent map changes.,Avoid administrative dump.,Serial continuity.
ROD-010,Smith's certainty should crack gradually.,Use a rationalization ladder: plausible explanation → strained explanation → contradiction → choice.,Self-deception becomes suspense engine.,Opening-only mechanism; no claim about Ishiguro ending.,Character arc method.
WAT-009,Investigation can become pure metaphysics.,Every diagnostic reading must remove/open a concrete intervention option.,No information without consequence.,Opening-only source mechanism.,Case design rule.
